t_ms,step,beam,score,prefix,next_token_id,next_token_str,new_seq
1761104686781,1528,1,,,-1,,
1761104686781,1528,2,,,-1,,
1761104686810,1529,0,,,-1,,
1761104686810,1529,1,,,-1,,
1761104686810,1529,2,,,-1,,
1761104686839,1530,0,,,-1,,
1761104686839,1530,1,,,-1,,
1761104686839,1530,2,,,-1,,
1761104686868,1531,0,,,-1,,
1761104686868,1531,1,,,-1,,
1761104686868,1531,2,,,-1,,
1761104686897,1532,0,,,-1,,
1761104686897,1532,1,,,-1,,
1761104686897,1532,2,,,-1,,
1761104686926,1533,0,,,-1,,
1761104686926,1533,1,,,-1,,
1761104686926,1533,2,,,-1,,
1761104686955,1534,0,,,-1,,
1761104686955,1534,1,,,-1,,
1761104686955,1534,2,,,-1,,
1761104686984,1535,0,,,-1,,
1761104686984,1535,1,,,-1,,
1761104686984,1535,2,,,-1,,
1761104687012,1536,0,,,-1,,
1761104687012,1536,1,,,-1,,
1761104687012,1536,2,,,-1,,
1761104687041,1537,0,,,-1,,
1761104687041,1537,1,,,-1,,
1761104687041,1537,2,,,-1,,
1761104687070,1538,0,,,-1,,
1761104687070,1538,1,,,-1,,
1761104687070,1538,2,,,-1,,
1761104687099,1539,0,,,-1,,
1761104687099,1539,1,,,-1,,
1761104687099,1539,2,,,-1,,
1761104687129,1540,0,,,-1,,
1761104687129,1540,1,,,-1,,
1761104687129,1540,2,,,-1,,
1761104687158,1541,0,,,-1,,
1761104687158,1541,1,,,-1,,
